model,model_size,model_type,context_file,category,depth,response,expected_answer,accuracy
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_43845.txt,0 - 32k,70%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_43845.txt,0 - 32k,80%,Jeffrey wore cyan-colored socks with a yellow smiley face at his party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_43845.txt,0 - 32k,90%,Jeffrey wore cyan colored socks with a yellow smiley face at his party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_43845.txt,0 - 32k,100%,Jeffrey wore cyan socks with a yellow smiley face.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_25646.txt,0 - 32k,0%,Jeffrey wore cyan colored socks with a yellow smiley face.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_25646.txt,0 - 32k,10%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_25646.txt,0 - 32k,20%,Jeffrey wore cyan colored socks with a yellow smiley face at his party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_25646.txt,0 - 32k,30%,Jeffrey wore cyan colored socks with a yellow smiley face at his party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_25646.txt,0 - 32k,40%,Jeffrey wore cyan colored socks with a yellow smiley face at his party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_25646.txt,0 - 32k,50%,Jeffrey wore cyan-colored socks with a yellow smiley face at his party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_25646.txt,0 - 32k,60%,Jeffrey wore cyan colored socks with a yellow smiley face.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_25646.txt,0 - 32k,70%,Jeffrey wore cyan colored socks with a yellow smiley face at his party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_25646.txt,0 - 32k,80%,Jeffrey wore cyan colored socks with a yellow smiley face at his party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_25646.txt,0 - 32k,90%,Jeffrey wore cyan colored socks with a yellow smiley face at his party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_25646.txt,0 - 32k,100%,Jeffrey wore cyan-colored socks with a yellow smiley face at his party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_49078.txt,0 - 32k,0%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_49078.txt,0 - 32k,10%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_49078.txt,0 - 32k,20%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_49078.txt,0 - 32k,30%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_49078.txt,0 - 32k,40%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_49078.txt,0 - 32k,50%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_49078.txt,0 - 32k,60%,Jeffrey wore cyan colored socks with a yellow smiley face at his party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_49078.txt,0 - 32k,70%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_49078.txt,0 - 32k,80%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_49078.txt,0 - 32k,90%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_49078.txt,0 - 32k,100%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_30909.txt,0 - 32k,0%,Jeffrey wore cyan colored socks with a yellow smiley face at his party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_30909.txt,0 - 32k,10%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_30909.txt,0 - 32k,20%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_30909.txt,0 - 32k,30%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_30909.txt,0 - 32k,40%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_30909.txt,0 - 32k,50%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_30909.txt,0 - 32k,60%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_30909.txt,0 - 32k,70%,Jeffrey wore cyan-colored socks with a yellow smiley face at his party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_30909.txt,0 - 32k,80%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_30909.txt,0 - 32k,90%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,0-32k_30909.txt,0 - 32k,100%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_58553.txt,32k - 64k,0%,Jeffrey wore cyan-colored socks with a yellow smiley face at his party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_58553.txt,32k - 64k,10%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_58553.txt,32k - 64k,20%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_58553.txt,32k - 64k,30%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_58553.txt,32k - 64k,40%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_58553.txt,32k - 64k,50%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_58553.txt,32k - 64k,60%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_58553.txt,32k - 64k,70%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_58553.txt,32k - 64k,80%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_58553.txt,32k - 64k,90%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_58553.txt,32k - 64k,100%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_8559.txt,32k - 64k,0%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_8559.txt,32k - 64k,10%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_8559.txt,32k - 64k,20%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_8559.txt,32k - 64k,30%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_8559.txt,32k - 64k,40%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_8559.txt,32k - 64k,50%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_8559.txt,32k - 64k,60%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_8559.txt,32k - 64k,70%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_8559.txt,32k - 64k,80%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_8559.txt,32k - 64k,90%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_8559.txt,32k - 64k,100%,Jeffrey wore cyan-colored socks with a yellow smiley face at his party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_41603.txt,32k - 64k,0%,Jeffrey wore cyan-colored socks with a yellow smiley face.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_41603.txt,32k - 64k,10%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_41603.txt,32k - 64k,20%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_41603.txt,32k - 64k,30%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_41603.txt,32k - 64k,40%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_41603.txt,32k - 64k,50%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_41603.txt,32k - 64k,60%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_41603.txt,32k - 64k,70%,Jeffrey wore cyan colored socks with a yellow smiley face.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_41603.txt,32k - 64k,80%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_41603.txt,32k - 64k,90%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_41603.txt,32k - 64k,100%,Jefferey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_10321.txt,32k - 64k,0%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_10321.txt,32k - 64k,10%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_10321.txt,32k - 64k,20%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_10321.txt,32k - 64k,30%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_10321.txt,32k - 64k,40%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_10321.txt,32k - 64k,50%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_10321.txt,32k - 64k,60%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_10321.txt,32k - 64k,70%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_10321.txt,32k - 64k,80%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_10321.txt,32k - 64k,90%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_10321.txt,32k - 64k,100%,Jeffrey wore cyan socks with a yellow smiley face.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_35205.txt,32k - 64k,0%,Jeffrey wore cyan colored socks with a yellow smiley face.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_35205.txt,32k - 64k,10%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_35205.txt,32k - 64k,20%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_35205.txt,32k - 64k,30%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_35205.txt,32k - 64k,40%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_35205.txt,32k - 64k,50%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_35205.txt,32k - 64k,60%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_35205.txt,32k - 64k,70%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_35205.txt,32k - 64k,80%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_35205.txt,32k - 64k,90%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,32k-64k_35205.txt,32k - 64k,100%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_3340.txt,64k - 96k,0%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_3340.txt,64k - 96k,10%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_3340.txt,64k - 96k,20%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_3340.txt,64k - 96k,30%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_3340.txt,64k - 96k,40%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_3340.txt,64k - 96k,50%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_3340.txt,64k - 96k,60%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_3340.txt,64k - 96k,70%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_3340.txt,64k - 96k,80%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_3340.txt,64k - 96k,90%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_3340.txt,64k - 96k,100%,Jefferey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_48693.txt,64k - 96k,0%,Jeffrey wore cyan socks with a yellow smiley face.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_48693.txt,64k - 96k,10%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_48693.txt,64k - 96k,20%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_48693.txt,64k - 96k,30%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_48693.txt,64k - 96k,40%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_48693.txt,64k - 96k,50%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_48693.txt,64k - 96k,60%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_48693.txt,64k - 96k,70%,Jeffrey wore cyan colored socks with a yellow smiley face at his party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_48693.txt,64k - 96k,80%,Jeffrey wore cyan colored socks with a yellow smiley face.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_48693.txt,64k - 96k,90%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_48693.txt,64k - 96k,100%,Jefferey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_25773.txt,64k - 96k,0%,Jeffrey wore cyan colored socks with a yellow smiley face.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_25773.txt,64k - 96k,10%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_25773.txt,64k - 96k,20%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_25773.txt,64k - 96k,30%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_25773.txt,64k - 96k,40%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_25773.txt,64k - 96k,50%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_25773.txt,64k - 96k,60%,Jeffrey wore cyan colored socks with a yellow smiley face at his party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_25773.txt,64k - 96k,70%,Jeffrey wore cyan-colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_25773.txt,64k - 96k,80%,Jeffrey wore cyan colored socks with a yellow smiley face at his birthday party.,cyan colored socks with a yellow smiley face,1
qwen/qwen3-vl-8b-instruct,8B,instruct,64k-96k_25773.txt,64k - 96k,90%,Jeffrey wore cyan-colored socks with a yellow smiley face at his party.,cyan colored socks with a yellow smiley face,1
